sbsconfig,target,field,sf_corr,W2_min,W2_max,dx0_n,dx0_p,dy0,dx_sig_n,dx_sig_p,dy_sig,atime0,atime_sig,min_ev,gcut
4,lh2,0,0.14906976744186,0.3,2.4,0.01914,0.01914,-0.03618,0.05911,0.05911,0.07244,1.2,4.35,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
4,lh2,30,0.14906976744186,0.3,2.4,-0.646099,-0.646099,-0.0245972,0.0738526,0.0738526,0.0706237,1.2,4.35,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
4,lh2,50,0.14906976744186,0.3,2.4,-1.09359,-1.09359,-0.0134396,0.0879841,0.0879841,0.0661816,1.2,4.35,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
4,ld2,0,0.14906976744186,0.3,2.4,0.007614,0.007614,0.04738,0.2137,0.2137,0.2858,1.2,4.35,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
4,ld2,30,0.14906976744186,0.3,2.4,-0.00632,-0.6449,-0.00831,0.2128,0.1806,0.2688,1.2,4.35,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
4,ld2,50,0.14906976744186,0.3,2.4,0.0129126,-1.08927,0.008,0.193991,0.182977,0.2808,1.2,4.35,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
7,lh2,85,0.097027027027027,0.3,2.4,-0.771,-0.771,-0.00917449,0.0742,0.0742,0.0522316,-0.244,3.44,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
7,ld2,85,0.097027027027027,0.3,2.4,0.02437,-0.771,0.01075,0.0742,0.0742,0.1828,0.64,4.62,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
11,lh2,0,0.126551724137931,0.3,2.4,0.0725261,0.0725261,-0.034999,0.167305,0.167305,0.111698,1.01,5.89,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
11,lh2,100,0.126551724137931,0.3,2.4,-0.631161,-0.631161,0.0150518,0.0772046,0.0772046,0.08328,1.01,5.89,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
11,ld2,0,0.126551724137931,0.3,2.4,0.0405545,0.0405545,-0.0119,0.0635993,0.0635993,0.08675,1.01,5.89,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
11,ld2,100,0.126551724137931,0.3,2.4,0.0728046,-0.633216,-0.0119,0.187977,0.191482,0.08675,1.01,5.89,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
14,lh2,0,0.136538461538462,0.3,2.4,0.0799085,0.0799085,-0.0351797,0.0777094,0.0777094,0.0817252,0.89,4.84,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
14,lh2,70,0.136538461538462,0.3,2.4,-0.722565,-0.722565,-0.0132459,0.0761898,0.0761898,0.0846373,0.89,4.84,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
14,ld2,70,0.136538461538462,0.3,2.4,0.078859,-0.719273,0.000633742,0.171009,0.161225,0.218423,0.89,4.84,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
8,lh2,0,0.142916666666667,0.3,2.4,0.109928,0.109928,-0.0509538,0.0915071,0.0915071,0.063006,-0.75,5.05,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
8,lh2,50,0.142916666666667,0.3,2.4,-0.523447,-0.523447,-0.040997,0.121249,0.121249,0.0612909,-0.75,5.05,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
8,lh2,70,0.142916666666667,0.3,2.4,-0.769036,-0.769036,-0.0381113,0.139637,0.139637,0.0670007,-0.75,5.05,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
8,lh2,100,0.142916666666667,0.3,2.4,-1.14173,-1.14173,-0.0340306,0.158944,0.158944,0.0668056,-0.75,5.05,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
8,ld2,0,0.142916666666667,0.3,2.4,0.100465,0.100465,0.0249345,0.163139,0.163139,0.276042,-0.75,5.05,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
8,ld2,50,0.142916666666667,0.3,2.4,0.0876799,-0.516198,0.00465379,0.195652,0.186157,0.249543,-0.75,5.05,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
8,ld2,70,0.142916666666667,0.3,2.4,0.0920908,-0.765124,-0.0140644,0.185411,0.202337,0.245229,-0.75,5.05,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
8,ld2,100,0.142916666666667,0.3,2.4,0.0904357,-1.13518,-0.0281785,0.179498,0.212879,0.230278,-0.75,5.05,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
9,lh2,70,0.142083333333333,0.3,2.4,-0.819153,-0.819153,-0.0206469,0.0824273,0.0824273,0.0808579,1.62,4.75,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
9,ld2,70,0.142083333333333,0.3,2.4,0.08268,-0.82026,-0.00191283,0.173228,0.172697,0.234269,1.62,4.75,50,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
