sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C),hcal_v_offset,rootfile_dir,tdc_timestamp,tdc_calibration_constant,adct_timestamp,hcal_energy_timestamp
2,2008,lh2,2100,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2009,lh2,2100,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2010,lh2,2100,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2011,lh2,2100,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2016,lh2,2100,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2017,lh2,2100,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2018,lh2,2100,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2093,lh2,2100,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2095,lh2,2100,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2096,lh2,2100,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2097,lh2,2100,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2115,lh2,2100,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2116,lh2,2100,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2117,lh2,2100,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2118,lh2,2100,750,4.291,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN2/H2/SBS100/rootfiles,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2496,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2497,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2498,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2500,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2501,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2504,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2505,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2827,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2828,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2829,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2830,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2831,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2832,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2833,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2834,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2835,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2836,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2837,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2838,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2839,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2840,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2841,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2842,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2843,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2845,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2846,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2847,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2849,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2853,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2855,lh2,2100,750,6.373,0,0.05,0.00E+00,/lustre19/expphy/volatile/halla/sbs/sbs-gen/GEN_REPLAYS/Rootfiles/GEN3/H2/rootfiles,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
