sbsconfig,target,field,sf_corr,W2_min,W2_max,dx0_n,dx0_p,dy0,dx_sig_n,dx_sig_p,dy_sig,atime0,atime_sig,min_ev,gcut
2,he3,100,0.142083333333333,0.3,1.6,-1.79,-1.79,-0.03,0.147,0.147,0.13,65.6,3.54,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
3,he3,100,0.142083333333333,0.3,1.6,-1.79,-1.79,-0.03,0.147,0.147,0.13,65.6,3.54,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
4,he3,100,0.142083333333333,0.3,1.6,-1.79,-1.79,-0.03,0.147,0.147,0.13,65.6,3.54,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
2,lh2,100,0.142083333333333,0.3,1.6,-2.8,-2.8,-0.04,0.27,0.27,0.12,71.8,2.9,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
2,lh2,30,0.142083333333333,0.3,1.6,-0.878,-0.878,-0.13,0.144,0.144,0.1,73.4,2.9,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
3,lh2,100,0.142083333333333,0.3,1.6,-1.79,-1.79,-0.03,0.147,0.147,0.13,73.4,2.9,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
4,lh2,100,0.142083333333333,0.3,1.6,-1.79,-1.79,-0.03,0.147,0.147,0.13,65.6,3.54,250,bb.tr.n>0&&sbs.hcal.nclus>0&&bb.sh.nclus>0&&bb.ps.e>0.2
