sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),Charge (C),tdc_timestamp,tdc_calibration_constant,adct_timestamp,hcal_energy_timestamp
2,2116,h2,2100,750,4.291,0,0.05,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2117,h2,2100,750,4.291,0,0.05,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
2,2118,h2,2100,750,4.291,0,0.05,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2496,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2497,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2498,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2500,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2501,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2504,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2505,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2827,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2828,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2829,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2830,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2831,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2832,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2833,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2834,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2835,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
3,2836,h2,2100,750,6.373,0,0.05,--------[ 2022-11-11 00:00:00 ],--------[ 2022-10-17 00:00:00 ],--------[ 2022-11-11 00:00:00 ],-------[ 2021-10-24 04:30:00 ]
