sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C),tdc_timestamp,tdc_calibration_constant,adct_timestamp,hcal_energy_timestamp
11,12414,lh2,2100,750,9.88904613368795,0.000176342248279,0.0272987,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12415,lh2,2100,750,9.88903831130137,0.000185753229597,0.0383723,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12427,lh2,2100,750,9.8887959120332,0.000269463655251,0.0225132,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12428,lh2,2100,750,9.88880053942584,0.00018295205684,0.0223449,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12429,lh2,2100,750,9.88878152150376,0.000230610151168,0.0133734,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12471,lh2,2100,750,9.88860919675799,0.000506849990715,0.0687635,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12472,lh2,2100,750,9.88883480079208,0.000375903056352,0.00658696,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12491,lh2,2100,750,9.88893922628571,0.000332975258328,0.00539796,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12496,lh2,2100,750,9.88865537234482,0.000234915664548,0.047507,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12497,lh2,2100,750,9.88859656064011,0.000268270552952,0.0744233,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12524,lh2,2100,750,9.88906176176344,0.000216550483103,0.0365397,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12525,lh2,2100,750,9.88902609673956,0.000205072441132,0.0566498,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12526,lh2,2100,750,9.8890388270195,0.000254083845685,0.0389738,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12548,lh2,2100,750,9.88908758014656,0.000161885392193,0.0628051,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12561,lh2,2100,750,9.88886486218418,0.000230301997036,0.0693543,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12563,lh2,2100,750,9.88879352183648,0.000198235416389,0.0688644,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12575,lh2,2100,750,9.88858422296928,0.000247230833272,0.075274,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12576,lh2,2100,750,9.88859895421053,0.000276939467007,0.0530236,none,none,none,-------[ 2021-10-24 04:30:00 ]
11,12587,lh2,2100,750,9.88861767653514,0.000349452977688,0.0644463,none,none,none,-------[ 2021-10-24 04:30:00 ]
